"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"t31",0.0973845782745277,-0.132096146921407,0.17172766379824,0.000361461199531055,0.0180419457726803,0.00786731533023995,-0.00193537316838956,-0.00349289220399624,0.0852486335052749,5.40746615245644e-06,-3.71407176125164e-05,-0.00146712533751858,0.00247093423453301,-0.000736898187381312,0.0057847633690166,-0.00378180315102235,-0.0790508726019055,-0.0138145668436715,0.02757813995493,0.0114707081346539,-0.000133587468043697,-0.00151340504536059,0.000910203197428424,-3.63795564520867e-05,0.00181993040973132,-0.00230657111871924,0.174186535293016,0.429427575018465,-0.000137372696287802,0.0154036788682068,-0.000754331916110895,-0.00108411191021448,0.000143108456211162,-0.000309871485971211,0.000354420437848866,0.000121920702929995,-0.000560344843664777,-7.37983450674632e-06,-0.00041786305374959,0.00336701217373622,0.134058771281095,-1.83533534439032e-13,8.16524304515752e-16,-3.54663342898177e-05,3.55934243886152e-16,0.271037518705828,-0.000444234142965421,-4.62414922378828e-07,-2.47753855623056e-15,1.704130579565e-16,-2.70073351738118e-07,7.56513269283125e-05,0.673119992425306,3.88764715724532e-05,2.37743852382621e-15,-3.49686415915756e-05,-0.39731517802993,5.52066477795454e-16,-5.07570898627188e-16,-7.92253824893823e-16,-7.18955559253411e-06,-6.84782092141845e-16,5.49707058950372e-05,2.34606527049286e-16,-1.28340862844431e-16,1.26634813746307e-16,-2.41562266642536e-05,9.39659586960122e-06,-1.27496311852624e-16,7.06899816460549e-16,-3.42481684593086e-18,-6.88685219962792e-16,-4.48498874178336e-16,2.82560650142005e-16,-1.168918012672e-05,0.00226628346772903,-1.15792792021452e-16,-3.73399228204008e-16,2.82326245715225e-16,5.24753851482984e-17,1.78462885570953e-16,-0.00240059864917073,-1.196959198424e-16,-1.28160675944035e-16,-1.54387796929428e-16,1.5630660858639e-16,3.40094390630614e-16,-3.64806267208788e-17,-1.22237903463688e-16
"t33",0.0999525604989618,-0.13658666533654,0.1803991965718,0.00038751916363058,0.0198879917747867,0.00955846329436233,-0.00235777344823155,-0.00433930942970504,0.112825476249516,9.93601159210768e-06,-0.000105714015640389,-0.000506092114623719,0.00123494017743228,-0.000387816562844079,0.003550473669162,-0.00242757627016567,-0.0523630475543976,-0.00984157955182999,0.0201339681423016,0.00848231215298484,-9.95287313766536e-05,-0.00114082365957304,0.000704255076289725,-2.95379212968874e-05,0.00151598768406085,-0.00193233312491693,0.1477493950188,0.373193747784477,-0.000120759690454282,0.0136943060772723,-0.000715949447880468,-0.00105546817854242,0.000150405360362788,-0.000327068490431535,0.000402514353679279,0.000167308304112367,-0.000881814136837618,-1.23903763473128e-05,-0.000704888649222414,0.0070816244490062,0.289816101461004,-4.16661779794064e-13,1.9163880918589e-15,0.000128044158967594,2.07826881524854e-16,0.277851024603729,-0.000805236329006277,-9.65617819325527e-06,3.75551691802524e-16,6.31763765300366e-17,1.20248504216923e-05,-1.71052735334508e-05,-0.125726509604683,-3.80593478615989e-06,-7.94503351997378e-16,7.66085305124091e-05,0.75680035313791,3.16480426006749e-15,1.8028597115906e-15,1.07613352518373e-15,6.16962538641831e-07,1.04777297948999e-15,4.39277551333203e-06,-3.02508287991217e-17,4.57345562919609e-17,1.196959198424e-16,-7.09450148874159e-06,3.53044907286897e-06,1.01604009438461e-15,-3.04877650902924e-16,3.74307003273511e-16,3.73832909073002e-16,1.02467520429094e-16,-3.54378809139743e-16,-5.90265028741713e-06,0.00115163912250906,4.40186082029115e-16,1.4137996329211e-16,-1.23599047663348e-16,-2.9620403352304e-16,-4.2907299484523e-17,-0.00428276663038575,-5.63785129692462e-17,-4.31575408085526e-17,-2.64958287793441e-18,-1.83198828297789e-17,-3.47216869389028e-16,1.61060025387899e-16,-1.82039800200734e-16
"t88",0.109368030280823,-0.153119504379802,0.21259238817936,0.000485204727533605,0.0268900935712857,0.0161728204543762,-0.00401096964347849,-0.00766754979059685,0.22266338014786,2.86382688382889e-05,-0.000394282075547821,0.00398641409109328,-0.00477820708903396,0.00132861304707271,-0.00800805368399783,0.00475028952949628,0.0921466973148236,0.0132472599109268,-0.0246011361103421,-0.00984229093888864,0.000112008032743936,0.00122366055001781,-0.000678047395663184,2.33406212433295e-05,-0.00108402890433397,0.00135242743783099,-0.0988020845383413,-0.229549466197768,7.15995275877568e-05,-0.00784596865311405,0.00034927861816467,0.00049212115651702,-6.43721830119737e-05,0.000139586018611741,-0.000167889362035149,-7.62223742476467e-05,0.000454933364114112,6.80993287942994e-06,0.00038920952740127,-0.00479453485963394,-0.200770182122247,2.99405570107793e-13,-2.6613062284937e-15,-0.000242012036966524,1.56747458180009e-16,0.206839297918935,-0.000203497328713864,-7.66223854384166e-07,2.21922059205708e-17,1.08734006372708e-16,8.48117688722824e-07,7.1350007343346e-08,0.00108830680131727,1.13313652891356e-07,-4.30211422042248e-16,4.48834394683561e-07,0.00432827243793388,2.18001213592684e-16,-1.24133314241812e-16,-1.24911252813571e-16,8.73098385256732e-10,1.94289029309402e-16,6.55532820734162e-10,5.75282754918492e-16,1.60330198224514e-16,9.99200722162641e-16,-3.12126208364648e-09,8.47893955914503e-09,5.39889545027614e-17,-7.14706072102445e-16,1.03600502911502e-16,4.16333634234434e-17,2.92539447485592e-17,2.7957341948467e-17,1.65845252114716e-09,-1.69406813134432e-06,7.84095011141517e-16,3.54577478489659e-15,-1.73472347597681e-16,6.89726054048379e-15,-7.96600198568798e-16,0.838150022245103,-8.88178419700125e-16,8.16011894526926e-16,1.03845733822625e-16,3.04640100569735e-15,1.25751884531229e-15,-1.34280898399538e-17,-3.64069596731172e-17
"t91",0.109661842781173,-0.153635493948237,0.213597455812338,0.000488255667102409,0.0271088972721273,0.0163798210817686,-0.00406270936657524,-0.00777173928152386,0.22610429436518,2.92254617222318e-05,-0.000403353604383947,0.0041287877812227,-0.00496942779181436,0.00138324763193279,-0.00837767264340848,0.00498034643494934,0.0967877801125795,0.0139938900480328,-0.0260525393113955,-0.0104380135461942,0.000118893740234277,0.0013007920234476,-0.000723392004534505,2.50995740110516e-05,-0.00117136106823832,0.0014630257939227,-0.107149976486773,-0.250208384521452,7.82348837659805e-05,-0.00859396760157857,0.000388014280595221,0.000549595463675215,-7.29434480459257e-05,0.000158290160053641,-0.000192608595405469,-8.93053309339748e-05,0.000538001272676639,8.07932067681608e-06,0.000461856373274534,-0.00573057382911605,-0.240116174758212,3.58357120527139e-13,-3.28407145793655e-15,-0.000293294398960637,3.20382748633254e-16,0.254905213547532,-0.000254523346768183,-9.84041767108099e-07,-6.34222316161608e-18,2.69211611036206e-16,1.09263957584547e-06,9.67032711277419e-08,0.00147781851702466,1.54572305668607e-07,-5.79397640976254e-16,6.4440825560802e-07,0.00621851582059887,1.91079816924769e-16,-2.20877376177514e-16,-1.00398144707577e-16,1.30054137771618e-09,-4.62737487216813e-16,1.00600393098359e-09,3.16985139850977e-17,2.44251940672698e-16,-2.9316826744008e-16,-5.40608704278759e-09,1.69536572601839e-08,2.22601129910608e-16,8.73433270154322e-16,-3.45760187269974e-16,-4.70110061989715e-16,1.25681562502901e-16,-3.83222091296862e-16,-1.73754818636861e-07,3.5673034976369e-05,-5.23886489744996e-16,-2.39608680119296e-15,-8.37004077158809e-16,-3.79470760369927e-15,8.72393383585286e-16,-0.384797954704287,-2.64545330086463e-15,-3.739447244744e-15,1.19327525272754e-14,0.707106781186546,-1.34308381379101e-15,4.11140716204485e-17,2.86598107976868e-16
"t92",0.109661842781173,-0.153635493948237,0.213597455812338,0.000488255667102409,0.0271088972721273,0.0163798210817687,-0.00406270936657525,-0.00777173928152384,0.22610429436518,2.92254617221733e-05,-0.000403353604383943,0.00412878778122271,-0.00496942779181435,0.00138324763193281,-0.00837767264340843,0.00498034643494936,0.0967877801125795,0.0139938900480327,-0.0260525393113954,-0.0104380135461945,0.000118893740234272,0.00130079202344772,-0.000723392004534393,2.50995740109486e-05,-0.0011713610682383,0.00146302579392263,-0.107149976486774,-0.250208384521452,7.82348837661678e-05,-0.00859396760157851,0.00038801428059519,0.000549595463675232,-7.29434480464253e-05,0.000158290160053811,-0.000192608595405418,-8.93053309341269e-05,0.000538001272676642,8.07932067637372e-06,0.000461856373274575,-0.00573057382911607,-0.240116174758211,3.58540320192339e-13,-3.09660702030957e-15,-0.000293294398960403,2.55308728962279e-16,0.254905213547532,-0.000254523346768167,-9.840417672343e-07,-1.45513546685764e-16,-1.33141967591541e-16,1.09263957561996e-06,9.67032712554609e-08,0.00147781851702428,1.5457230540146e-07,-6.74807432154978e-16,6.44408255427825e-07,0.00621851582059863,8.94465633606876e-17,2.00236684781723e-17,1.99675993952704e-16,1.30054136730784e-09,-2.77555756156289e-17,1.00600364778998e-09,-6.88544612493548e-17,-2.81936765754101e-16,-1.42247325030098e-16,-5.40608702912664e-09,1.69536572402346e-08,1.72725163616709e-16,2.42861286636753e-17,1.21975982252499e-16,1.61329283265843e-16,-2.44855662337371e-16,2.98042996845479e-16,-1.73754818559666e-07,3.56730349766977e-05,-1.22298005056365e-16,-1.07249278902266e-15,1.27675647831893e-15,-2.51534904016637e-15,-1.51713391630254e-16,-0.384797954704281,3.18668702536939e-15,2.88159812472925e-15,-1.19469044129775e-14,-0.707106781186549,9.90310507145157e-17,-1.00004914870082e-16,-4.16159218433064e-16
"t65",0.108202529527902,-0.151066816007764,0.208571290044662,0.000472918328374816,0.0260020744897266,0.0153159833587588,-0.00379671241739681,-0.00723483120480708,0.208258747342037,2.61263997165186e-05,-0.000355055400457064,0.00333563663079022,-0.00388729893928843,0.00107281290727374,-0.00623794763157166,0.00363716092023603,0.0694925767909351,0.00950138778937707,-0.0172301463583541,-0.00679534405319017,7.66338658067455e-05,0.000824518136992563,-0.000439124995304251,1.3690388877105e-05,-0.000592671228193389,0.00072646590908704,-0.0509219390953714,-0.107779578786569,3.19609617097961e-05,-0.0033171099812166,9.50680262164907e-05,0.000102884812069638,-8.22691650886886e-07,2.39524810702677e-07,3.10703497630651e-05,4.65320032967454e-05,-0.000384559259056556,-6.36638046470211e-06,-0.000366206328020985,0.00556378269486847,0.237054383803516,-3.63531581904714e-13,3.92555356301055e-15,0.000403988890174982,-4.05440373907989e-16,-0.517079253566248,0.000720851462768746,5.3217074291779e-06,-1.34625872888791e-15,4.22702241016198e-16,-6.44579738194161e-06,1.67431557066516e-05,0.141175143555927,7.22901517460212e-06,1.96544169828172e-15,5.54618641720359e-06,0.0530616183444332,-1.47419652838398e-16,4.11077071445942e-16,2.84307063723246e-16,7.95177703717675e-09,-3.2612801348364e-16,5.18325850079257e-09,-5.58168877735693e-16,2.97164038155803e-16,6.03683769639929e-16,-1.94616249489879e-08,5.04239397656992e-08,-1.92484921161332e-15,-6.23424922796545e-14,5.29723236298116e-14,-4.04710986945389e-14,-8.88597619315827e-15,0.707106781186548,-3.14717420817588e-07,6.30393971610219e-05,1.59074142747073e-15,-1.50487261540988e-15,7.58074159001865e-16,1.02175212735034e-15,4.08138531571904e-16,-0.0245045426214256,-2.8796409701215e-16,8.05510754119912e-17,6.35281868654951e-17,1.78793636053463e-16,-1.87332862717545e-16,6.82693536253877e-17,1.69706004463088e-16
"t66",0.108202529527902,-0.151066816007764,0.208571290044662,0.000472918328374808,0.0260020744897266,0.0153159833587588,-0.00379671241739683,-0.00723483120480711,0.208258747342037,2.61263997165072e-05,-0.000355055400457054,0.0033356366307902,-0.00388729893928842,0.0010728129072737,-0.00623794763157166,0.0036371609202361,0.0694925767909351,0.00950138778937706,-0.0172301463583541,-0.00679534405318993,7.66338658068246e-05,0.000824518136992544,-0.000439124995304321,1.36903888769198e-05,-0.000592671228193316,0.000726465909086988,-0.0509219390953714,-0.107779578786569,3.19609617096053e-05,-0.00331710998121668,9.50680262166312e-05,0.000102884812069726,-8.2269165092852e-07,2.3952481086921e-07,3.10703497632828e-05,4.6532003296723e-05,-0.000384559259056359,-6.3663804648912e-06,-0.000366206328021056,0.00556378269486838,0.237054383803516,-3.62587549792318e-13,3.07065275999099e-15,0.000403988890175026,-8.44127442251837e-16,-0.517079253566249,0.000720851462768748,5.32170742905891e-06,-1.85575867888899e-15,-5.03244946697266e-16,-6.44579738208863e-06,1.67431557066601e-05,0.141175143555928,7.22901517476518e-06,1.56125112837913e-16,5.54618641713224e-06,0.053061618344433,-2.64290532070147e-17,1.39643817023419e-16,-4.51090762183602e-16,7.95177722799634e-09,6.98226199080665e-16,5.18325785200599e-09,6.77950347905765e-17,-5.48515576766662e-16,-6.31439345255558e-16,-1.94616249010119e-08,5.0423939677662e-08,1.82393464274678e-15,6.2751019658247e-14,-5.29470076863491e-14,4.00096622499291e-14,9.02652099227132e-15,-0.707106781186548,-3.14717422576164e-07,6.30393971537656e-05,-1.43374895289483e-15,1.33053290607421e-15,-7.92768628521401e-16,-8.56086035394554e-16,-2.61464814350155e-16,-0.0245045426214256,-3.46944695195361e-18,-2.47887386772905e-17,-2.86457469737152e-17,-2.36434716596582e-16,-1.21354981850916e-17,8.00080997559263e-17,2.12368670327331e-16
"t41",0.103248142941376,-0.142365657024204,0.191621850624432,0.000421465884062915,0.0223121252005498,0.0118260735900164,-0.00292441966467812,-0.00547840450271862,0.150265776649425,1.62394188095487e-05,-0.000202411554313657,0.000952630595430262,-0.000695092136239522,0.000161431597088459,-9.56079438849406e-05,-0.000178502615270135,-0.00734689358377143,-0.00278363212447353,0.00657744936989087,0.00295782467522921,-3.59614827967037e-05,-0.000434125503771584,0.000296759751181444,-1.44516824057376e-05,0.000790245459478779,-0.00102032658795342,0.0801253438373019,0.212151101152807,-7.00536325954616e-05,0.00809502932307579,-0.000464034053971735,-0.000704862614139167,0.000108534829239386,-0.000236944727235541,0.000310378763571246,0.000147763518653237,-0.000847083046993969,-1.23426807096574e-05,-0.000703977814053516,0.00787590273887132,0.326139912224337,-4.77991845031099e-13,3.10647583006781e-15,0.000255007394313109,1.72887022308169e-16,0.0809196442104391,-0.0005736585549334,-1.03147155933303e-05,5.17478545560701e-15,-4.59354635572191e-16,1.34013124311018e-05,-7.93405337703114e-05,-0.685840234718102,-3.72546530529004e-05,-1.93242774212954e-15,-5.31550116949517e-05,-0.512716114845867,-1.69283386917489e-15,-1.70183491737615e-15,-6.43890353648148e-16,-1.20121261020341e-07,-1.73316493535386e-16,-1.19313792702732e-07,-6.35159877919368e-16,2.86510966388265e-16,-1.60895602396849e-16,-1.56061623152906e-06,1.09812389724804e-06,-1.14642226228742e-15,-9.14117956676841e-17,3.11541048216055e-16,5.00874298633991e-16,-1.37346586675996e-16,-1.58848522548206e-16,-2.61623584679326e-06,0.000514027825208747,-8.14886352840105e-16,3.17081701606964e-16,-1.38899850822549e-16,2.16352543519482e-16,-7.66102668960037e-17,-0.0118323491263793,2.67310045626301e-16,1.56947680315888e-16,1.84496124068008e-16,2.44722075237921e-16,3.23745024841564e-16,2.35562258852259e-16,-1.62728130718907e-17
"t83",0.0845046739768532,-0.108494132161839,0.121531509807673,0.000191815160738304,0.00407561276137466,-0.0123158854812906,0.00316410708521591,0.00759447334179078,-0.378032510487899,-0.000230777009292744,0.0394889321071642,0.0133543973049127,-0.0129139960857594,0.00342828277753027,-0.0171839780998846,0.00947660851435034,0.17338921975639,0.0211346416421696,-0.036734472212981,-0.0141670580432886,0.000157703562847224,0.00166346289980342,-0.000851901595173177,2.667641820001e-05,-0.00140804849984082,0.00194065433816677,-0.255949245416378,0.0897596414607278,-5.49869019050853e-06,-0.000204786054947226,8.2277820574652e-06,-9.2713838995475e-06,7.60230212687452e-06,-1.70167361807118e-05,2.71206056481968e-05,1.05165356076432e-05,-4.27273637648003e-05,-5.1362240433353e-07,-2.88672307316613e-05,0.00014146381392556,0.00513687818063468,-5.81689075612569e-15,-4.13290106932581e-17,-1.10448565824009e-05,-1.16943587906504e-16,0.00162699651717661,8.02092291546908e-05,3.45393173634861e-06,-4.02311522207213e-16,-1.25469979531095e-16,-4.90104681748899e-06,-3.56375860477865e-06,-8.36008497683688e-05,2.99959076271311e-06,2.77555756156289e-16,8.52691951783169e-07,4.07455353669272e-05,2.37321631387737e-16,1.54847814761145e-16,-1.49537973663055e-16,-8.39734562871342e-07,-6.24500451351651e-17,5.06215673926839e-06,6.00753882675376e-16,1.35525095560645e-17,-1.17961196366423e-16,1.50837166168819e-06,-2.69151197103239e-06,-5.13971183474166e-17,1.64104840827406e-15,4.13484399814194e-16,1.88044024795886e-15,-2.67659208015763e-15,4.0982844014743e-15,0.000283598004725013,-0.839103737417864,-6.97358837342676e-16,-2.63677968348475e-15,2.8796409701215e-16,-1.44675937896466e-15,-5.05031954125909e-16,-6.36644396269648e-05,4.9960036108132e-16,2.03587984595351e-16,-5.89210121437757e-17,-4.65945860974797e-17,-4.35816815017505e-16,1.94649482237524e-16,-7.87746234755392e-18
"t93",0.085026364272416,-0.109335185428152,0.122855998211216,0.000194602214122463,0.00415246335464845,-0.0126838291746098,0.00325939184713069,0.00783564602640246,-0.391724939848569,-0.000241955725088105,0.041643843401871,0.014508813820024,-0.0141736379247565,0.00377250614016254,-0.0191365967309317,0.0106107253357021,0.195038229470462,0.0241170888080689,-0.0421847606147156,-0.0163290535658242,0.0001821863350302,0.00192895018885995,-0.000997092406352124,3.18746589931388e-05,-0.0017040190194681,0.00235560720914403,-0.31276102172446,0.111188192882144,-6.85685482783652e-06,-0.000257068043387637,1.07411313450257e-05,-1.22864395632051e-05,1.05092019145291e-05,-2.35753733654476e-05,3.89051749868671e-05,1.61123014705765e-05,-6.74726447132991e-05,-8.19752711606146e-07,-4.61049809993607e-05,0.000231465374167648,0.00842282705556477,-9.45391089977938e-15,3.9841887793565e-17,-1.89581999835608e-05,1.21202743377323e-16,0.00296722349424828,0.000154734170983412,7.42059221246075e-06,4.6019233796629e-18,4.25110199080084e-17,-1.06722843337891e-05,-9.88977063978496e-06,-0.000234363041747537,8.619753493826e-06,1.75207071073658e-16,3.38703843279269e-06,0.000162666002403672,1.85930138010718e-15,-5.38905478159834e-16,-1.24189403472146e-16,-4.55226392147724e-06,-5.15863393668603e-16,3.8595723005024e-05,-7.29748530212734e-17,1.75348301921161e-17,2.38524477946811e-16,-2.02205668333609e-05,9.053617628167e-06,-2.89499148283588e-16,-2.35488711863852e-16,2.82978277769139e-18,-1.13450915328883e-15,1.19495675320073e-15,-2.04634873676631e-15,-0.000139393714382702,0.383837345898011,9.04224611852911e-16,8.87744738831131e-16,4.15032591627451e-16,7.04731412115578e-16,4.50427569241164e-16,2.25508583556917e-06,7.39859562504108e-16,-1.81201511181018e-16,-8.61531945102662e-16,9.40733747009481e-16,0.707106781186547,2.11669702272303e-16,4.22110867855642e-16
