,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
t122,-0.079817474,1.0229466,-0.18968683,11.764312,23.439522,-1.5505495,0.057621714,10.627704,0.72235256,0.7526052,-0.48376605,-0.1305141,0.603358,-0.14792028,-0.77751267,45.789352,-0.00084268226,0.5808247,-0.5316679,13.486391,-0.38621154,1.6575993,-0.49224743
t123,-0.06501839,3.7982168,-0.24258359,13.550418,20.644625,-1.2879183,0.09539979,11.734981,0.79152846,0.63447183,-0.43450907,-0.16286862,0.50791526,-0.1283254,-0.9226727,44.096336,2.6234806,0.58436596,-0.57392234,12.665834,-0.32394975,1.3875291,-0.43326235
t107,-0.055227596,5.576239,-0.2748317,14.661446,18.869356,-1.1241568,0.11898608,12.392804,0.8347962,0.5599659,-0.4053677,-0.18551067,0.44771442,-0.11568755,-1.0126748,43.06185,4.360112,0.59178853,-0.6005338,12.153657,-0.28322372,1.2184929,-0.39667386
t172,-0.078985885,1.0982145,-0.18254815,11.813199,23.539051,-1.567839,0.057335634,10.616879,0.7207874,0.74826604,-0.48947877,-0.13743001,0.60480654,-0.14662683,-0.7830267,45.93716,0.030507792,0.5925032,-0.53362244,13.419661,-0.3825387,1.6605624,-0.49196792
t173,-0.07831835,1.3181111,-0.18742403,11.961326,23.322262,-1.5457313,0.059762675,10.717547,0.72827345,0.73897535,-0.48486316,-0.13949656,0.59283936,-0.14528042,-0.79659086,45.801003,0.24094652,0.58990544,-0.5367624,13.330805,-0.3787096,1.6381383,-0.487644
t100,-0.075495444,1.4240133,-0.1905483,11.940126,23.040314,-1.5222137,0.0644597,10.667475,0.72378415,0.73474383,-0.47542828,-0.13913336,0.5972459,-0.1460614,-0.7881202,45.47312,0.23049258,0.5957829,-0.5329885,13.402473,-0.37443584,1.6228379,-0.48266253
t184,-0.077997975,1.0462594,-0.18178411,11.788229,23.460384,-1.5524856,0.05893822,10.604912,0.72604656,0.75064975,-0.48683798,-0.13557641,0.5899008,-0.14800091,-0.76327145,45.90114,-0.0011881918,0.58074754,-0.53004146,13.42781,-0.38195747,1.6541392,-0.4893867
t185,-0.07791354,1.038617,-0.18219945,11.796273,23.47001,-1.5525048,0.05933051,10.61944,0.7264857,0.7513134,-0.48691803,-0.13595107,0.58914596,-0.14808741,-0.7626995,45.921303,-0.0013154487,0.5811271,-0.5301883,13.443984,-0.38244146,1.6554264,-0.489592
t75,-0.038875524,8.254808,-0.32519713,15.586363,15.43753,-0.8159574,0.15211363,12.793421,0.8583945,0.43612424,-0.3583368,-0.2240486,0.46214432,-0.08927449,-1.1016433,40.5725,7.1280546,0.62802774,-0.62741065,11.840847,-0.19836265,0.95626014,-0.32981154
t79,-0.04441976,7.216518,-0.3042383,14.965809,16.534647,-0.91642296,0.13841456,12.418824,0.83362055,0.48003215,-0.37805718,-0.21288653,0.4955789,-0.09667399,-1.0486681,41.285652,6.1165876,0.62794626,-0.6127175,12.14272,-0.22156595,1.0589519,-0.35175458
t133,-0.07885838,0.86766636,-0.17920667,11.1289015,23.071238,-1.5305644,0.050582957,10.102708,0.67986983,0.74841696,-0.4963619,-0.14077346,0.6969944,-0.14033966,-0.7254944,45.426712,-0.00075508165,0.61907727,-0.5226985,13.863021,-0.36053202,1.6733522,-0.48232123
t134,-0.07919448,0.9408173,-0.17803277,11.1165905,23.08487,-1.5330081,0.050707284,10.086484,0.6844386,0.7472866,-0.4950181,-0.14152315,0.6939074,-0.14044428,-0.72805196,45.467148,-0.0004461679,0.61367476,-0.52184534,13.822806,-0.3588429,1.6688086,-0.48300943
t208,-0.08050858,0.88940066,-0.18109782,11.099739,23.201687,-1.5348965,0.05162145,10.148464,0.6820158,0.74633765,-0.49156642,-0.14269413,0.6824516,-0.14043057,-0.73314965,45.4996,-0.0007763877,0.6138085,-0.52020484,13.76461,-0.36002436,1.6732621,-0.48368162
t209,-0.08042403,0.8981634,-0.18116665,11.100631,23.198112,-1.5349187,0.051726323,10.151748,0.6818912,0.74623233,-0.49120924,-0.14274591,0.6823472,-0.14048034,-0.73320717,45.50003,-0.0007672147,0.6134711,-0.5202304,13.764792,-0.3598453,1.6729559,-0.4837445
t85,-0.0772636,0.95169556,-0.1751867,10.946175,23.057873,-1.5237623,0.05180035,9.958298,0.67425036,0.7427654,-0.496118,-0.14435019,0.72340286,-0.139758,-0.7177184,45.313816,-0.00010083202,0.62332267,-0.520606,13.998088,-0.36029643,1.6772296,-0.48424312
t71,-0.06348844,3.8431182,-0.23663431,11.403407,18.909266,-1.1604345,0.08513174,9.817086,0.6957137,0.6151857,-0.43583015,-0.18250576,0.76874495,-0.10924818,-0.8100038,41.814705,3.1402006,0.6528286,-0.53050256,13.845239,-0.26709116,1.3800819,-0.4144614
t82,-0.05451562,5.3860693,-0.26267233,12.326125,17.314985,-1.020449,0.105839536,10.386345,0.73547214,0.5512151,-0.41684487,-0.19875474,0.71266603,-0.09827708,-0.891021,40.933563,4.6068106,0.65665865,-0.55433136,13.340189,-0.23252371,1.2281165,-0.3835474
t83,-0.05053843,6.1311827,-0.2787432,12.849079,16.563814,-0.9490839,0.11604862,10.721717,0.7559058,0.5200716,-0.4011949,-0.20600824,0.6848074,-0.093864106,-0.9315263,40.480637,5.3372865,0.65462315,-0.56656075,13.13397,-0.21788402,1.1565223,-0.36906183
t66,-0.042902585,7.5376215,-0.31755283,14.282169,15.4695425,-0.83284837,0.1411928,11.718894,0.8144181,0.46430254,-0.37647942,-0.22470364,0.5819536,-0.08583773,-1.0280361,40.28229,6.6592216,0.66201323,-0.5996641,12.530716,-0.18794201,1.0265673,-0.34219986
t67,-0.03723043,8.616985,-0.3386472,14.980138,14.372416,-0.72994334,0.15546024,12.146259,0.8427286,0.41997147,-0.3580681,-0.2357821,0.54395986,-0.07873914,-1.0857407,39.628242,7.7022586,0.6634543,-0.6161444,12.216824,-0.1654474,0.92151964,-0.31976593
t130,-0.08161573,0.89767796,-0.20693249,10.733845,22.963839,-1.4937277,0.054941367,9.679604,0.6884044,0.76163256,-0.49349642,-0.14699954,0.73332804,-0.13600579,-0.71746194,45.410248,-8.0312515e-05,0.6504217,-0.51252204,14.240043,-0.3447909,1.6910211,-0.4882535
t144,-0.07432499,2.2394507,-0.23306812,11.591991,21.586916,-1.3685764,0.07280778,10.221208,0.72225934,0.70498824,-0.4672199,-0.16231334,0.6879363,-0.1270279,-0.7869448,44.56412,1.3020821,0.64703864,-0.5324533,13.840599,-0.3154771,1.5605909,-0.46046057
