,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
t1628,5.473525,4.1974745,4.903351,4.5872006,6.289795,5.1376734,4.6414056,10.130883,3.9050047,6.1461024,4.9705744,4.663835,5.3644238,3.581502,4.3472843,3.7567787,3.640153,4.8270187,6.846714,3.6667485,6.327865,3.840975,4.658129,5.648179,4.546055,3.6746576,5.0203977,4.742514,5.352615,6.6735287,3.3581426,4.9010983,4.150249,4.726052,4.870844,4.550492,5.9535637,3.8828244,6.360247,4.3196726,4.3866234,5.66236,6.3946385,3.7067378,4.856828,4.2427125,4.027413,6.1893945,4.4328938,5.7361665,3.679647,4.881553,4.5520735,3.335721,5.923451,8.030094,4.5483313,5.780503,3.5317924,5.6089463,5.495832,4.6628337,5.62492,6.567554,3.8035178,5.6799407,4.8719835,3.3140192,4.99788,5.21929,5.517616,3.129336,4.814491,5.360265,4.7512717,3.741343,2.7333403,5.278219,4.959154,5.6956797,5.0680857,5.3908587,4.507922,5.111148,3.1534166,6.612024,4.575092,4.598503,5.9194965,6.0998745,5.890508,4.2792063,5.9668045,4.6422844,4.3804035,3.9787154,6.207721,4.571821,4.662514,4.57487
t1639,4.192068,4.7083583,4.5087814,4.938615,4.6564913,5.9926834,4.910728,5.893738,10.062514,5.232388,5.229769,6.157111,4.4603887,4.8380775,5.87098,4.957205,2.6741138,5.5173864,3.3297224,4.5549245,6.4674745,4.48176,3.7362206,7.205335,4.721298,4.441846,4.10563,3.6892316,6.264292,3.664434,3.7307403,5.993704,7.6499996,4.5448384,5.043264,4.9320755,3.382188,5.57878,3.6871076,5.4127693,4.5006084,5.1258717,5.9935937,5.3393893,3.9001975,6.9220243,6.2228,6.150121,4.311139,4.53506,5.0756454,4.6994023,6.0665474,4.2923584,5.4767985,4.0303793,4.929121,5.32621,5.2286186,5.042562,4.885024,2.8487,4.62792,4.43834,4.3930216,4.236764,5.0570254,4.8186088,4.0443244,5.277878,3.2224066,6.3779707,3.844067,3.1931646,2.986543,3.0702276,2.4122121,4.944285,5.954373,5.7884455,4.6798377,4.6582656,4.4250484,6.9964323,5.962202,3.6534965,6.13781,3.5139818,6.8000097,4.6343603,5.519637,4.670574,5.401562,2.4658308,6.264773,4.385075,5.3870735,3.047287,4.592707,4.723168
t1682,4.9629397,5.590477,5.361827,4.5792394,5.6810293,5.59027,7.9064302,4.4670467,4.652729,11.776181,6.0023394,3.2125022,4.5559626,4.4076886,6.2150574,5.403876,2.85112,4.16157,4.748342,4.873225,5.250459,3.7300107,5.008692,5.037584,5.015384,5.660427,4.3648443,4.8336735,4.483902,5.6802926,3.6235304,6.328726,5.753294,5.060018,4.890185,4.055583,2.7021713,3.1457765,1.8711461,4.27935,4.9076457,2.82299,4.815358,6.784866,4.611026,5.845356,7.1285257,5.0433326,5.7423797,4.2900963,4.9927387,5.5912704,5.821877,3.8388731,5.101185,3.106861,6.356657,4.822556,3.8670535,5.6439776,4.493124,5.5005245,7.01939,3.9833126,5.976682,3.9616985,4.4203577,6.35343,6.1545334,3.8031907,4.8265333,4.952501,7.931996,5.389027,6.3823752,6.3266644,6.537102,5.0637817,4.734906,5.629771,6.004813,6.3400755,4.2940626,5.7763796,3.5284278,5.2768126,7.2982802,2.6964798,3.57268,5.2025857,2.2603674,3.2190778,6.568242,6.920059,5.27221,7.6676316,5.9986677,4.304359,4.066418,6.221755
t1703,6.551448,4.735369,5.0144606,5.7709227,5.3120484,6.539519,5.445311,4.660766,5.4115763,5.620599,11.03693,4.310917,4.986845,5.020513,5.120275,4.4210305,3.3565674,5.917719,5.918353,4.080738,6.3577023,4.28062,3.4391448,3.1494067,4.5010357,5.929204,4.834234,4.701215,3.1213453,6.0869164,4.5485516,4.4630713,4.5599923,6.8278894,4.0954633,6.5678477,3.3658676,5.681517,4.525984,4.007608,6.186752,5.224599,5.532368,5.6661687,5.8569508,3.4259024,4.959816,4.828655,3.8220196,4.9700627,3.2672129,3.8646483,4.8225765,4.219383,5.16262,3.7840295,5.6233864,4.6820793,4.242843,4.477317,5.2884946,8.1922,4.4560504,4.2791133,4.575458,3.992819,4.6129413,4.529327,5.14005,5.570314,3.7417917,5.3321996,4.1906834,4.048285,5.871215,6.188046,5.935599,6.150108,4.410465,6.468861,5.2941375,5.356392,6.101354,6.8532,4.293179,4.0501113,5.2636385,3.6063187,5.2236924,3.8862197,5.6358027,6.22292,6.125065,5.1068053,5.8380713,5.4183335,6.5705676,5.0690255,4.999784,5.845974
t1711,5.048977,4.033293,5.90346,4.3757973,5.6728,5.581162,4.782007,4.4329925,5.1031313,6.065933,5.6299553,11.76331,4.2710423,4.7029924,5.2243285,5.8288083,2.9300628,5.875798,4.195567,5.0857654,3.9276128,4.891015,6.0962586,4.954943,2.7772086,4.6126504,5.059371,4.3439837,5.831951,4.7231846,5.651096,4.6813517,5.1696725,4.8601937,5.5672503,7.03077,3.7293484,5.3859763,5.960221,4.9625306,5.7128105,4.1595626,4.143205,5.7424607,5.0984774,4.1610727,3.4203637,4.5713167,4.3492885,6.0201507,5.5185504,4.927798,5.017966,3.4537885,5.634906,4.1778398,5.11187,4.857785,4.014863,3.5773983,4.1524534,6.604801,4.4810014,5.7680326,6.3219233,6.28619,6.4076486,3.9304326,5.35739,4.4745016,6.6889925,4.8324313,6.423725,5.7211447,4.9529943,6.640398,4.622018,3.872142,3.9899707,7.121437,5.0708857,7.030818,4.6628995,5.481322,6.3510504,4.0195866,4.226275,5.3368754,4.4448533,5.54374,5.9280195,4.849185,4.66116,4.2040887,3.9705112,4.61211,4.721971,6.806806,5.2806225,5.53934
t1712,4.9066396,4.6205654,4.7165523,4.953401,4.371105,4.321364,10.4816885,5.425379,5.3832045,4.530498,5.080724,5.6675854,5.5156775,5.0155005,4.8047037,4.369493,3.026909,5.0922985,5.0962067,5.611359,6.315084,5.482634,4.9404488,6.317241,5.0336795,5.7181907,5.214392,5.0510154,4.714504,5.208806,4.216744,5.4899716,3.1120684,5.298536,5.8261867,4.991846,5.197997,4.945192,3.0398002,4.6137376,5.1419954,5.074013,5.239323,6.135558,5.176921,5.4744797,4.6962004,4.915461,4.8262486,5.538076,4.957719,5.700506,5.459146,5.347716,4.6046023,4.898996,4.527594,6.1094503,5.713501,5.272715,5.08788,4.466181,4.7912035,4.9214034,4.9612894,3.6915975,4.056867,4.9615784,4.677322,3.403158,3.8349698,5.3866305,6.324472,4.7109504,4.5510116,5.5174494,5.149526,4.450972,6.03603,5.6796527,5.5817647,5.0386395,4.952221,3.6115162,3.9467645,5.5274343,5.1567216,5.5163565,4.9674315,4.5692716,5.3698406,3.6912537,4.384874,5.108121,5.4348874,5.717247,4.793817,4.96055,4.887586,5.450601
t1717,3.077309,5.3740234,4.948885,4.7212744,11.816762,5.6386037,5.1431785,4.5031667,5.0885177,5.464421,5.6667275,4.35427,4.651814,5.7242007,5.090438,5.067962,3.8409078,4.099869,5.143167,5.6597133,4.685235,5.08689,4.7400656,4.8329644,3.9035525,5.41648,4.2778916,7.2292433,5.410927,5.32492,4.250803,3.9827628,4.6494226,5.1156616,5.0017166,4.704382,5.815791,4.6765146,4.0637264,4.7870054,4.8742213,5.3692703,5.3037257,4.971989,6.568177,2.8950722,3.732604,5.3740826,3.3040695,5.821043,5.6500087,5.3292985,4.362772,5.798173,4.5864916,6.5484333,3.8887901,4.0257235,4.883142,5.2216954,6.0086107,6.971211,5.85745,5.6744623,3.6715918,6.166742,5.3486214,5.48793,4.5644236,4.5291743,4.297168,5.5794716,6.351994,4.3066096,4.328527,4.878196,5.411913,4.800051,5.214457,3.9940248,7.3266563,5.2671413,4.5634303,5.3539925,4.99224,5.4279447,4.8737216,4.052708,4.081802,3.5423074,5.4134216,5.682284,4.453772,6.020207,6.1312838,4.281124,5.1203527,4.091019,3.0803986,6.8603134
t1758,3.8437846,5.2284513,5.7650285,3.7370758,4.1784487,6.294981,5.1670494,2.796079,5.0281525,4.808473,5.8142843,3.8888087,10.201504,4.3862085,4.7456675,3.6508262,2.982444,3.7848933,5.1453576,3.5810468,7.4051876,7.0592,4.1090975,6.9306936,6.022028,4.877861,5.0621696,5.313309,3.3285718,5.982715,3.6956136,4.3720517,6.346603,5.528739,3.2440197,6.403003,3.695133,5.2306876,5.0020733,6.010881,3.6825101,5.1477585,6.3456674,6.1193786,6.0481944,2.8482435,3.0576675,6.483104,4.246599,5.600545,4.409865,5.2140408,2.2414508,4.17846,2.7491193,4.204869,6.289955,7.1551943,6.8255286,7.05004,2.3416152,5.4875216,8.155001,3.6729481,2.6404827,6.894485,5.38572,7.4705725,5.2801466,5.5363684,3.7842736,4.7991014,4.806464,4.6913977,8.435633,3.5408976,5.7194004,3.2801414,2.270765,3.9346256,6.1672015,2.4719245,5.763194,4.7032785,4.341406,5.722685,4.83935,5.20765,3.876265,4.3886495,4.133349,5.2578993,5.3383007,5.792395,5.2803035,6.1122913,6.116292,3.1546242,5.2932296,4.040754
t1762,10.168129,4.74418,4.5581565,4.1492624,3.3879051,4.8531737,4.8606954,5.179447,5.336067,4.6506333,5.95383,4.823383,5.414786,4.9804354,4.7488184,5.905614,3.3739393,3.6282797,5.3400865,4.3426824,6.995693,6.13363,4.7631106,3.6204236,3.8966448,4.1254983,5.6230392,5.731437,4.983857,5.277903,2.3930802,6.441892,6.256168,5.0572395,5.2470737,6.020857,5.943238,5.5352316,5.8517942,4.3148656,1.9931602,5.3865976,6.10109,6.2413945,6.139437,4.0322857,6.3313756,4.3015394,4.93901,4.932438,3.4728255,4.512269,5.496292,4.8439426,4.274272,5.667527,5.33489,4.715911,5.9993224,4.0780716,4.6846733,5.8558946,3.7495394,5.458514,4.6519094,5.7994943,4.9745264,3.7271557,5.2582197,4.988835,6.4082146,4.4542265,4.625432,4.09992,5.7489195,5.578337,2.5529404,3.6765513,3.7176201,4.1529803,4.3559685,4.9067807,4.604258,4.329211,4.5415883,6.697508,4.013863,5.6970077,3.011018,4.7444553,4.2355375,4.8509736,4.8378625,5.0660834,3.537915,5.4712706,4.655894,5.3297343,3.496039,5.267066
t1765,6.0256805,4.70214,4.9157376,4.5452895,4.522379,5.131502,4.7988896,4.9175754,5.8333793,5.3730326,3.6671953,4.758264,5.4665895,10.763218,4.9341784,6.576901,3.724044,3.7528265,4.676311,5.2904034,3.4570105,4.4484625,4.758073,4.192713,5.9179006,4.0471716,4.858872,6.3731184,5.966058,4.5263844,6.051303,3.2341602,3.520037,3.7029054,4.043165,4.974253,4.2793612,3.994669,5.080904,6.488463,5.451239,5.789083,5.51785,4.6761923,5.5630894,4.624447,4.2506537,5.838995,3.8594599,6.6094375,5.02494,5.880556,5.2534986,5.568728,6.1893578,5.300722,5.375853,5.141577,4.4205647,3.0737278,4.345254,5.573311,4.2719903,5.0353675,4.4765697,3.4548838,3.1674314,3.341405,4.5282245,3.405821,4.202028,5.388174,4.4247885,5.1567936,5.3950644,5.682708,3.8705318,5.494291,7.195062,4.631343,5.494438,4.402638,4.030006,4.131601,3.2426503,4.1038985,5.644389,5.3347464,6.3020396,6.383272,3.9335415,5.516529,6.374752,5.848197,7.3814898,4.5441027,2.2357466,3.8797958,5.0230446,4.4609184
