"accepted_species","trait_OU_scaled"
"t1",-0.687113138183475
"t15",1.60754294272273
"t16",NA
"t6",0.215127984018495
"t18",0.715808993968612
"t45",NA
"t60",-0.216182233533458
"t65",-1.45401041811991
"t66",-1.64096119834174
"t23",NA
"t14",1.28044290318203
"t42",-2.00288615597324
"t51",0.202408265948345
"t52",NA
"t86",1.76533341704843
"t87",0.939365430982192
"t83",-0.461570603292314
"t93",-0.246087951670948
"t94",-0.0524251656445301
"t67",-0.0965376452239302
"t41",NA
"t46",0.586771135377659
"t58",0.661306718054351
"t59",0.607524078142794
"t84",-0.0980929874663108
"t85",1.32980850799703
"t8",NA
"t61",-0.100178134292301
"t62",-0.333889674803529
"t99",0.162638877529745
"t100",0.0822558525000763
"t77",0.456842501109228
"t38",NA
"t26",0.0492323915536296
"t5",-1.27122244324506
"t54",3.41388557488892
"t39",NA
"t40",-0.569250578604811
"t37",0.639978099037552
"t25",NA
"t12",NA
"t21",-0.286278223782216
"t22",-0.977581781408802
"t19",1.10134077433505
"t97",0.2563100794784
"t98",0.26947751890975
"t78",0.497884143312704
"t7",-0.949427191324575
"t70",0.60287580530598
"t71",0.633339573790357
"t43",1.02656252205416
"t44",-1.07476985756755
"t29",0.361641628344421
"t10",-1.77935249562305
"t74",-0.425714614408315
"t75",-0.00184162853028279
"t20",-1.17120651992305
"t47",0.115668139010076
"t48",-0.463658236158758
"t95",-0.226799227835441
"t96",-0.08425223321277
"t88",0.575491510301303
"t4",0.655266464733964
"t81",-1.34629101865531
"t82",0.00763534274581489
"t55",-1.33807678954644
"t72",-0.395991173448958
"t73",-0.980804741194691
"t11",-0.337371257093801
"t30",1.81128627220928
"t89",-1.81858222828047
"t90",-0.899793809709556
"t2",2.03177652336907
"t9",0.766870289798342
"t63",-0.783911641476622
"t64",0.827361110841823
"t13",-0.097146083359192
"t35",-0.397635071411413
"t36",-0.163431596600922
"t17",-1.73752539348634
"t33",-1.51536433758394
"t34",-0.881396436871753
"t24",0.23876923353342
"t49",-1.83394484353695
"t68",-0.224521384426073
"t69",-0.489621661929851
"t50",-0.725364665870521
"t79",-1.52559950279058
"t80",-1.34081388548919
"t27",-0.131736064007844
"t28",0.534008276794873
"t76",0.0753119635838495
"t53",0.251685976683106
"t91",-0.203325586635619
"t92",0.404254372325956
"t56",0.876196040816957
"t57",1.35040010038735
"t31",0.341968138374489
"t32",0.872804091374513
"t3",1.97259829814202
