,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t34,-0.2440984,-0.017012483,24.498096,0.8678273,-0.22153404,1.8231393,-1.8351078,-0.22749077,8.595352,3.8675387,21.028656,0.03005589,0.87320155,-2.5239727,-0.9192891
t35,-0.61083055,-0.041148983,13.87434,0.1421978,-0.0053931987,6.830379,-1.3615727,-0.19323747,0.26576215,0.2876316,11.580054,0.023999134,0.22440602,2.5834687,-0.25326034
t36,-0.60338926,-0.04043028,13.817473,0.14090559,-0.00622566,6.746682,-1.3567648,-0.19184406,0.31350824,0.3025663,11.546678,0.023830205,0.22686864,2.4878345,-0.25810328
t37,-0.9055257,-0.02595032,26.110357,0.65791684,-0.13526054,6.9090977,-1.8615352,-0.2903073,3.4380867,1.4642085,22.396479,0.033267878,0.5318541,2.015675,-0.27909988
t38,-0.33386752,-0.01830309,24.763346,0.84190357,-0.21045817,2.5056148,-1.8408916,-0.23695338,7.9136147,3.5497901,21.263363,0.030773383,0.8282701,-2.0653,-0.83175486
t39,-0.9732562,-0.022116598,23.796701,0.55297077,-0.1024272,7.65938,-1.7476805,-0.26991233,1.6805795,0.80841315,20.645966,0.036558952,0.41749638,2.8275635,-0.071915984
t40,-0.04660729,-0.102347,-0.10012783,0.0030164693,8.656281,-0.23895834,-0.0026210982,-0.18247846,3.7525678,1.7385547,-0.97585595,7.068923,0.0017482016,4.7557917,6.715174
t41,5.996871,-0.13012327,-0.10222271,4.2814527,-0.004806251,2.0226169,-0.124385186,-0.113078766,3.7528343,1.6326745,-0.08488998,7.3292904,6.908526,7.7976117,6.6877065
t42,7.7756224,-0.15913258,-0.09987486,4.3357105,-0.011094307,1.9285101,-0.32755655,-0.1178467,4.9062457,2.366388,-0.20870392,10.44142,7.314833,8.848678,7.7725763
t43,-0.44291174,-0.14854261,2.916878,3.2478333,4.761875,17.920511,-0.5869236,-0.054481458,-0.06504877,0.2219064,3.4175894,10.375618,0.026326448,4.400614,-0.2528632
t44,-0.14336449,-0.12558608,2.0039837,3.406397,3.1106815,16.523218,-0.6705971,0.25695273,-0.043766968,0.7244728,2.721271,10.964681,0.17628653,3.1983683,-0.2545892
t45,-0.78112465,-0.026064323,26.004286,0.717207,-0.15652673,5.754869,-1.8722388,-0.2823984,4.51339,2.0146244,22.378666,0.03308426,0.6159113,0.3081936,-0.39078468
t46,5.1147404,-0.1081488,-0.087800354,4.6345468,0.04626172,2.3740268,-0.1193314,-0.082045294,3.4795022,1.3148308,0.025073089,6.3846316,7.0596404,6.9844174,5.9264317
t47,-0.032629,-0.105775684,-0.104377665,0.015252626,8.849165,-0.25503033,-0.004679137,-0.18447544,3.8769848,1.8094274,-1.019122,7.362272,0.00854533,4.8530784,6.864848
t48,-0.025712285,-0.100706965,-0.10729352,0.015523677,8.548203,-0.1857373,-0.012241551,-0.18044488,3.6795564,1.659853,-0.96004856,7.0101686,0.0128147,4.633614,6.5385113
t49,-0.4112719,-0.15109357,2.7844343,3.364377,4.8299623,18.081663,-0.5698084,-0.045116596,-0.06539059,0.21138752,3.3002043,10.388925,0.023627842,4.380638,-0.24037229
t50,5.1026287,-0.11144534,-0.10979793,4.3995767,0.0042061363,2.3860922,-0.090364024,-0.09054073,3.2984726,1.3340633,-0.030896878,6.1689625,6.691506,7.1196756,6.119958
t51,1.6749759,-0.12720676,-0.09935718,0.043757834,8.21637,-0.32391357,-0.07625901,-0.20095085,4.8661933,2.3916953,-1.1542645,9.616828,0.42732072,5.88927,7.7550297
t52,1.0407314,-0.11774768,-0.09915384,0.029120931,8.356051,-0.31237862,-0.054355625,-0.19644111,4.4351163,2.1822097,-1.0944396,8.792006,0.2921791,5.535017,7.4615045
t53,-0.029004097,-0.10443968,-0.10494823,0.015245368,8.949918,-0.2925823,-0.015621632,-0.18879566,3.9513423,1.8122461,-1.0189527,7.4869156,0.0058223205,4.9208827,6.9419413
t54,4.631526,-0.112775035,-0.11233213,4.2874084,-0.0012808434,2.366781,-0.04272784,-0.10201311,3.0197158,1.3547134,-0.0121390615,5.854614,6.3238072,6.6473103,5.858316
t55,5.6661406,-0.12832853,-0.10503115,4.260655,-0.0054625804,2.0902686,-0.1033725,-0.111585,3.5465045,1.5975121,-0.08740642,7.071076,6.7819066,7.4985337,6.516731
t56,-0.90177244,-0.029779354,26.202513,0.6625226,-0.1349452,6.930526,-1.8569999,-0.29358318,3.3327162,1.4760448,22.52439,0.034436703,0.54680026,1.905211,-0.27738515
t57,-0.023373036,-0.10562263,-0.10691267,0.015641706,8.821777,-0.21842271,-0.0040656882,-0.18320137,3.7927568,1.7646458,-1.0147264,7.2959957,0.015183818,4.807104,6.769524
t58,0.57369596,-0.062788405,-0.081921615,1.6138356,4.600131,0.97920066,-0.037663247,-0.079455175,2.3985736,0.9068401,-0.38331074,4.3547144,1.2550566,3.4764202,4.3405294
t59,5.7157826,-0.1287913,-0.09504552,4.682709,-0.026525088,2.5249329,-0.12341373,-0.081731714,3.6432338,1.5477946,-0.017472003,6.75692,7.297712,7.7934546,6.4621677
t60,4.703044,-0.114774525,-0.110506654,4.4258804,-0.005543591,2.2598472,-0.043790314,-0.10957818,3.0147107,1.3568563,-0.0074985353,5.9637084,6.4421077,6.625449,5.8556523
t61,5.6819363,-0.12692188,-0.09174926,4.6990123,-0.026937505,2.518838,-0.12143418,-0.08090172,3.5670636,1.5272908,-0.0109070735,6.7042847,7.278432,7.6932597,6.3838005
t62,-0.038027745,-0.099712506,-0.097687475,0.034705527,8.574495,-0.17717035,-0.010891015,-0.17719026,3.6404943,1.6493318,-0.96809286,6.847222,0.0074852775,4.60939,6.5355244
