"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89"
"t48",0.0655308901281229,-0.00635255944671069,-0.0260258409931508,-0.00828331271245137,-0.101995396582649,-0.147737748369277,-0.0113962712315115,0.000398164424158939,-0.0346568113189817,-0.038878422304581,0.525647990241861,0.0529277412616581,0.0290000398818806,0.0898084118304759,-0.00116210293969922,-0.00349522191812667,-0.00196896775394576,0.00969605360520709,-0.000863003995839389,0.0364366856038203,-0.00467346097351218,0.0542032003023362,-0.00566420108242184,0.00283544506918997,-0.0511176570748404,0.0245381837921543,-2.2277489771759e-06,6.14932752487861e-05,-1.36671306877964e-05,-0.00231612761572064,0.000697703183677239,0.000467844036695382,0.00224812141805981,-0.0195511057167787,-8.42243272054875e-09,9.40027083717121e-05,-6.73985470786616e-05,6.10222860688951e-07,-3.27862736959617e-16,0.00187894318956982,2.91207609092112e-05,0.000116277911911772,2.67258298651402e-05,0.000169672461798082,-0.00135641832845627,-0.000214542035001848,-0.000137651467078012,-4.34170720346625e-14,1.12224430122224e-05,5.93766678862904e-05,-0.000172867239357818,-7.91033905045424e-16,-0.00178269890484124,-6.85417160822096e-05,-0.149794922460381,0.360869610663168,1.54722566691322e-13,7.78268387609206e-05,-1.33111261146548e-05,6.1929628092372e-16,5.4159056353778e-15,-2.57606436182556e-14,-0.707106781186547,6.97415944730516e-15,8.09690597984559e-16,3.65305462409888e-15,2.87833992751452e-15,-2.85655903804298e-05,1.3769126985436e-06,-3.17782787776241e-16,9.45032550096687e-16,1.35481903473789e-15,-7.65175683231645e-16,4.33332037772324e-16,-6.98000934998971e-07,5.79397640976254e-16,-3.26243776299852e-16,-1.70002900645727e-16,-7.31795524744581e-17,-3.03779015311264e-16,2.38524477946811e-16,-1.01190720653007e-16,3.741095167596e-17,5.31891299131171e-06,-1.04083408558608e-16,1.43503230698314e-16,2.07500389380962e-16,-4.50127203492562e-18,5.73326108810335e-16
"t38",0.0655308901281229,-0.00635255944671069,-0.0260258409931507,-0.00828331271245138,-0.101995396582649,-0.147737748369277,-0.0113962712315115,0.000398164424158986,-0.0346568113189817,-0.038878422304581,0.525647990241861,0.052927741261658,0.0290000398818806,0.0898084118304759,-0.00116210293969923,-0.00349522191812667,-0.00196896775394579,0.00969605360520716,-0.000863003995839376,0.0364366856038204,-0.00467346097351216,0.0542032003023362,-0.00566420108242173,0.00283544506919002,-0.0511176570748403,0.0245381837921542,-2.22774897695038e-06,6.14932752488158e-05,-1.36671306876737e-05,-0.00231612761572067,0.000697703183677094,0.000467844036695482,0.00224812141806002,-0.0195511057167785,-8.42243247465169e-09,9.40027083717147e-05,-6.73985470788507e-05,6.10222860335284e-07,2.99239799605999e-16,0.00187894318956978,2.91207609092589e-05,0.000116277911911976,2.67258298650361e-05,0.00016967246179795,-0.00135641832845618,-0.000214542035001416,-0.000137651467077273,-4.17875850800989e-14,1.12224430124791e-05,5.93766678861117e-05,-0.000172867239357692,1.11022302462516e-16,-0.0017826989048416,-6.85417160822062e-05,-0.14979492246038,0.360869610663168,1.54766629039791e-13,7.78268387604405e-05,-1.33111261147428e-05,1.31838984174237e-16,-2.18356168301569e-15,2.62984078958084e-14,0.707106781186548,-7.07248610493904e-15,2.57664588581536e-15,-3.41467017171981e-15,-3.29770932783191e-15,-2.85655903795243e-05,1.37691269890255e-06,3.1515369720211e-16,-9.1606135601292e-16,-1.12757025938492e-15,3.24122239464542e-16,-1.57771665266748e-18,-6.98000934992032e-07,-4.70110061989715e-16,2.71408516652554e-16,1.35308431126191e-16,-9.96802740625737e-17,1.12197206017489e-16,-7.89299181569447e-17,3.73974264470232e-18,-1.32949824376765e-16,5.31891299110875e-06,-1.56125112837913e-16,-2.96980506553636e-17,-9.38535863046078e-17,5.56990626606226e-17,3.58220397789211e-16
"t34",0.0652584543437368,-0.00630587547545794,-0.0257315071163923,-0.00818285494427608,-0.100144218839889,-0.144190664255943,-0.0109560058901117,0.000377033204328384,-0.0327457862034968,-0.0366160321221071,0.491300371109193,0.0493157738933306,0.026669891229991,0.0824375203778408,-0.00106374998163023,-0.00314256893525811,-0.00167861291338235,0.00826301396637941,-0.000733235653711136,0.0305204886370442,-0.00386763904003927,0.0434113675057502,-0.00443814200790432,0.00219882544062819,-0.0374420590110256,0.0179140493244201,-1.50132139446757e-06,4.11177170493238e-05,-9.0730421608772e-06,-0.00147898615912302,0.00044038481421953,0.000281144131768692,0.00129834033131108,-0.0110861165663338,-4.59498003925821e-09,4.97125972217793e-05,-3.31525931920595e-05,2.84629408344589e-07,-2.25514051876985e-17,0.000644638188020765,7.63688757397796e-06,2.87618463239644e-05,6.51593600517475e-06,3.86032375662149e-05,-0.000269505012125804,-3.83899777769928e-05,-8.55001711169701e-06,1.2002012900493e-14,-3.64150199215485e-06,-2.29951385274374e-05,9.74367862741354e-05,6.10622663543836e-16,0.00333166845223022,0.000133931728615164,0.315380973659179,-0.771315864592019,-3.32021920312956e-13,-0.000194529923703309,8.11151089562066e-05,1.25593979660721e-15,4.18325469186382e-14,-3.05311331771918e-16,-6.45521026380286e-16,-2.77267535057688e-17,9.06871776494607e-15,-2.14646092044079e-16,2.90566182226115e-17,-0.000119473050114088,5.66631954902687e-06,4.22451529085684e-17,3.28393234816164e-17,-1.11022302462516e-16,1.20346441145891e-17,-4.05006922050614e-16,-1.90861842203072e-06,-4.16333634234434e-17,7.20556773068689e-17,-1.38777878078145e-16,1.39526224515806e-17,4.21472225481286e-17,-6.76542155630955e-17,2.21873103626695e-17,7.92775157042063e-17,1.04805541734088e-05,1.11022302462516e-16,-6.01474513805875e-17,-4.52086013764503e-17,-7.92834318669081e-18,1.00613961606655e-16
"t84",0.08060172702614,-0.0152671618568841,-0.00877332058789761,-0.00401966407062317,-0.10801323682422,-0.117047351541622,0.367864509704209,-0.00121187790402334,0.0232964149316193,0.0431342401369498,-0.0802072250988222,-0.0045622900743707,0.00244531988050546,0.00899921720381968,-0.000141077526419582,-0.000742669921131332,-0.000763962939718177,0.00604088085971573,-0.000261974303026726,0.00846713348249401,-0.00179224045278026,0.0306991207277579,-0.000150488839138334,0.000481829784247198,-0.0146975699814598,0.00671984130250075,-2.66954286540916e-08,1.32221798150426e-06,-4.20227898712334e-06,0.000149146887516487,-0.00171330064502981,-0.00256209314046804,-0.544711127400744,-0.0307827882171984,-1.34977342215021e-08,0.000101837190745412,-5.17856322491631e-05,4.17138532147836e-07,-3.8294020732188e-16,0.00378945624657814,1.42886922706773e-05,5.65219880342082e-05,1.29623473035714e-05,8.14519933133029e-05,-0.000376852218711762,-0.00034883361090514,-0.000202552030514279,-5.13440579950392e-14,4.25059770487422e-06,6.80478154566711e-05,-0.000182351742002589,-2.94902990916057e-16,-0.000348556884152263,-3.47401212809911e-05,-0.107797479852273,-0.042545460780706,-5.29055022101715e-14,6.07498056966172e-06,1.3944685259858e-05,6.44883452194378e-16,3.47277987617076e-15,8.32667268468867e-17,3.19719829529549e-17,-3.30615147268094e-16,4.81645490695588e-15,2.41196481087438e-16,-5.25295952569227e-17,-2.63464214820281e-05,3.46652810962324e-06,-3.34492914829985e-17,-3.68853165817945e-18,4.85722573273506e-17,-5.59732924072798e-16,-8.91596216429252e-17,-5.17656855755777e-07,-7.67615138119737e-17,2.81995965138047e-16,1.91686944095437e-16,-6.37898200648596e-17,-2.44434434592791e-18,-1.65991352607531e-15,0.707106781186547,4.67775953774732e-16,3.44362322579313e-06,1.09461051334137e-15,-4.48559495538744e-16,6.30498135601799e-16,1.30645457441127e-16,6.93889390390723e-17
"t85",0.08060172702614,-0.0152671618568841,-0.00877332058789764,-0.00401966407062317,-0.10801323682422,-0.117047351541622,0.367864509704209,-0.00121187790402334,0.0232964149316193,0.0431342401369498,-0.0802072250988224,-0.00456229007437071,0.00244531988050541,0.00899921720381962,-0.0001410775264196,-0.000742669921131319,-0.000763962939718213,0.00604088085971577,-0.000261974303026666,0.00846713348249407,-0.00179224045278028,0.0306991207277579,-0.000150488839138362,0.000481829784247184,-0.0146975699814598,0.00671984130250074,-2.66954286037846e-08,1.32221798155826e-06,-4.20227898690126e-06,0.000149146887516532,-0.00171330064502964,-0.00256209314046812,-0.544711127400744,-0.0307827882171985,-1.34977339827608e-08,0.000101837190745401,-5.17856322491549e-05,4.17138532055354e-07,-3.3285006695305e-16,0.00378945624657834,1.42886922707263e-05,5.65219880336986e-05,1.29623473034465e-05,8.14519933132127e-05,-0.000376852218711498,-0.000348833610905524,-0.000202552030514063,-5.14068213977207e-14,4.25059770494535e-06,6.80478154567916e-05,-0.000182351742002584,-2.94902990916057e-16,-0.000348556884152395,-3.47401212806728e-05,-0.107797479852273,-0.042545460780706,-5.32325566497102e-14,6.07498056948434e-06,1.39446852600256e-05,1.95156391047391e-17,3.732278518178e-15,2.51534904016637e-16,3.43638642655548e-17,3.25107255700769e-16,5.07219814539961e-15,-8.9002141080405e-17,-1.84314369322536e-17,-2.63464214822883e-05,3.46652810941575e-06,5.47078444026722e-18,1.78569538350032e-16,-1.196959198424e-16,3.31386394020194e-16,5.01720873046611e-16,-5.17656856002108e-07,9.62771529167128e-17,-2.26529489406102e-16,-2.15973072759112e-16,1.00972880716635e-16,-7.41437704510386e-16,2.79821738696784e-15,-0.707106781186547,-4.73502193694648e-16,3.44362322627322e-06,-9.54965273525232e-16,6.04852032742021e-16,-4.53703749333127e-16,-8.79297637992518e-17,-8.19656842399041e-17
